2018-09-13 17:29:24.669 demo [http-nio-80-exec-6] INFO  c.l.d.m.system.service.UserService - zwb{UserService.doLogin}==>进入函数
2018-09-13 17:29:24.671 demo [http-nio-80-exec-6] INFO  c.l.d.m.system.service.UserService - zwb{UserService.doLogin}==>用户已经认证通过
2018-09-13 17:29:57.584 demo [restartedMain] INFO  cn.leap.demo.Application - Starting Application on jxnxt-PC with PID 8552 (F:\Users\jxnxt\workspace\demo\target\classes started by jxnxt in F:\Users\jxnxt\workspace\demo)
2018-09-13 17:29:57.585 demo [restartedMain] INFO  cn.leap.demo.Application - The following profiles are active: prod
2018-09-13 17:29:57.679 demo [restartedMain] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7ffcf117: startup date [Thu Sep 13 17:29:57 CST 2018]; root of context hierarchy
2018-09-13 17:29:58.828 demo [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$403758b4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-09-13 17:29:58.953 demo [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [cn.leap.demo.common.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$2e0fdd34] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-09-13 17:29:59.275 demo [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.context.properties.ConversionServiceDeducer$Factory' of type [org.springframework.boot.context.properties.ConversionServiceDeducer$Factory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-09-13 17:29:59.292 demo [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-09-13 17:29:59.325 demo [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$730ba9e4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-09-13 17:29:59.331 demo [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
