2018-09-17 17:13:55.722 demo [http-nio-80-exec-10] INFO  c.l.d.common.shiro.RedisSessionDAO - 创建session:c3b9477a-9418-4d47-8868-16338d64ea2c
2018-09-17 17:13:55.730 demo [http-nio-80-exec-10] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:c3b9477a-9418-4d47-8868-16338d64ea2c
2018-09-17 17:13:55.738 demo [http-nio-80-exec-10] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:c3b9477a-9418-4d47-8868-16338d64ea2c
2018-09-17 17:13:55.767 demo [http-nio-80-exec-7] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:c3b9477a-9418-4d47-8868-16338d64ea2c
2018-09-17 17:13:55.800 demo [http-nio-80-exec-5] INFO  c.l.d.common.shiro.RedisSessionDAO - 创建session:d10c330b-267e-4d43-b3c7-6d28bba6c87d
2018-09-17 17:13:55.804 demo [http-nio-80-exec-5] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:d10c330b-267e-4d43-b3c7-6d28bba6c87d
2018-09-17 17:13:55.809 demo [http-nio-80-exec-5] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:d10c330b-267e-4d43-b3c7-6d28bba6c87d
2018-09-17 17:13:55.837 demo [http-nio-80-exec-9] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:d10c330b-267e-4d43-b3c7-6d28bba6c87d
2018-09-17 17:13:55.906 demo [http-nio-80-exec-2] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:ade28546-f782-4f4e-b67b-c12f946bc7f2
2018-09-17 17:13:55.912 demo [http-nio-80-exec-2] INFO  c.l.d.common.shiro.RedisSessionDAO - 删除session:ade28546-f782-4f4e-b67b-c12f946bc7f2
2018-09-17 17:13:55.915 demo [http-nio-80-exec-2] INFO  c.l.d.common.shiro.RedisSessionDAO - 创建session:e8773bca-0b92-44c3-9261-2181583da8a9
2018-09-17 17:13:55.919 demo [http-nio-80-exec-2] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:e8773bca-0b92-44c3-9261-2181583da8a9
2018-09-17 17:13:55.919 demo [http-nio-80-exec-3] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:ade28546-f782-4f4e-b67b-c12f946bc7f2
2018-09-17 17:13:55.923 demo [http-nio-80-exec-3] INFO  c.l.d.common.shiro.RedisSessionDAO - 创建session:2b717dbd-96fa-475b-b6e5-6fe27611066b
2018-09-17 17:13:55.924 demo [http-nio-80-exec-2] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:e8773bca-0b92-44c3-9261-2181583da8a9
2018-09-17 17:13:55.929 demo [http-nio-80-exec-3] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:2b717dbd-96fa-475b-b6e5-6fe27611066b
2018-09-17 17:13:55.941 demo [http-nio-80-exec-3] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:2b717dbd-96fa-475b-b6e5-6fe27611066b
2018-09-17 17:13:55.944 demo [http-nio-80-exec-2] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:e8773bca-0b92-44c3-9261-2181583da8a9
2018-09-17 17:13:55.956 demo [http-nio-80-exec-3] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:2b717dbd-96fa-475b-b6e5-6fe27611066b
2018-09-17 17:13:55.961 demo [http-nio-80-exec-4] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:ade28546-f782-4f4e-b67b-c12f946bc7f2
2018-09-17 17:13:55.963 demo [http-nio-80-exec-4] INFO  c.l.d.common.shiro.RedisSessionDAO - 创建session:c0c71702-587b-4336-aed4-89391509ed3f
2018-09-17 17:13:55.966 demo [http-nio-80-exec-4] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:c0c71702-587b-4336-aed4-89391509ed3f
2018-09-17 17:13:55.970 demo [http-nio-80-exec-4] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:c0c71702-587b-4336-aed4-89391509ed3f
2018-09-17 17:13:55.978 demo [http-nio-80-exec-4] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:c0c71702-587b-4336-aed4-89391509ed3f
2018-09-17 17:13:56.400 demo [http-nio-80-exec-6] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:e8773bca-0b92-44c3-9261-2181583da8a9
2018-09-17 17:13:56.408 demo [http-nio-80-exec-6] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:e8773bca-0b92-44c3-9261-2181583da8a9
2018-09-17 17:13:56.489 demo [http-nio-80-exec-8] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:e8773bca-0b92-44c3-9261-2181583da8a9
2018-09-17 17:13:56.492 demo [http-nio-80-exec-10] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:e8773bca-0b92-44c3-9261-2181583da8a9
2018-09-17 17:13:56.495 demo [http-nio-80-exec-8] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:e8773bca-0b92-44c3-9261-2181583da8a9
2018-09-17 17:13:56.498 demo [http-nio-80-exec-10] INFO  c.l.d.common.shiro.RedisSessionDAO - 获取session:e8773bca-0b92-44c3-9261-2181583da8a9
